,סוג נתון כמותי,ערך,מצב מאושר*,שינוי (+/-)                                    למצב המאושר*,"סה""כ מוצע                                    בתכנית מפורטת","סה""כ מוצע                                    בתכנית מתארית",הערות
0,"מגורים (יח""ד)","יח""ד",+14,,14,,ללא שינוי
1,"מגורים (מ""ר)","מ""ר",+730,"+1,230","1,960",,"תוספת מ""ר למגורים לפי 140 מ""ר ליח""ד שטח כולל (כולל ממ""ד וסוכות)"
